rn,video_id,owner_id,manual_category,manual_category_l2,total_vv
291,7dBIZcKKn1JD2Gozj,1576304551932323,亲子,搞笑儿童,2205118
292,7cJHuIOqI1JCJw1Sw,1573235972652192,美食,美食制作片段,2202133
293,7bVWuPGfd1JxDEKcC,1570409704502303,亲子,孕产,2198251
294,79MDSictQ1JBE8ks4,1562838213298650,明星名人,娱乐明星,2194197
295,7fEt728y31JBX9Zfm,1583503639406751,搞笑,剧情段子,2189385
296,7ciX2dNJC1Jz70MJI,1571716603288488,街拍,剧情街拍,2188434
297,7hv94fhVD1JCKVl8x,1590017302647585,亲子,搞笑儿童,2187497
298,6Z6PMOYtL1JCLW7HL,1525247370089013,新闻资讯,社会民生,2182659
299,7gEv5GOPl1JDTf1dN,1587027066421591,工业/机械/施工,建筑施工,2178879
300,72oJJyrZM1JBIqQgz,1536829073084034,影视综艺,影视片段,2176151
301,7fWmKogqs1JDtKtHe,1584520212268040,知识,科普/冷知识,2174464
302,7d0UxhPZa1JBjHRp5,1574213524284068,生活,生活随拍,2169429
303,7g0XcuU3G1JAZ6GYT,1584780809312052,搞笑,剧情段子,2169175
304,72uoPrTBW1JB1CXA4,1537150722803940,亲子,搞笑儿童,2163088
305,7axLHQu991JvyIZJX,1565514999065119,搞笑,逗比,2161942
306,78tNyxMza1JD8yMx1,1558246263731580,搞笑,剧情段子,2159662
307,76xQ7EeQT1JD1TRrT,1551432586437623,新闻资讯,社会民生,2156052
308,7d5RcLcsw1JC4xuaY,1574494473758336,三农,农家生活,2151283
309,779H22AlS1JD7zFTM,1553582667338828,新闻资讯,社会民生,2149094
310,77OSVPiZb1JuKmBDM,1555922378768721,三农,农家生活,2148157
311,7drh8TUqK1JCqTZzT,1575711041129538,搞笑,恶搞整蛊,2147471
312,7gMaZ6FEa1JzYhxZ7,1587463048376510,搞笑,逗比,2147006
313,76Y8IQKWj1JBhbDMR,1552926432661495,搞笑,剧情段子,2144430
314,7ednTO2vj1JC1IEWg,1578443642323421,情感,亲情,2139379
315,7gFKOHsP01JtmHSG6,1587098273738514,情感,亲情,2138466
316,77yioAPrI1JBBsRO7,1554980103148194,搞笑,逗比,2123550
317,79kWXeDXI1JEgTXnb,1561265286260114,搞笑,恶搞整蛊,2122926
318,6XT0QC6up1JBXqx17,1520940685683653,生活,纪实现场拍摄,2119825
319,7fxVsdH4k1JCMswse,1583132002534320,搞笑,逗比,2100394
320,7cJHuIOqI1JDrcqv8,1573235972652192,动物,农村家禽,2099172
321,6YWcOztU41JD2Yswq,1524643664412944,新闻资讯,社会民生,2097119
322,76v23oAj51JDfGSQZ,1551273116488735,搞笑,逗比,2093773
323,70AxhGs6g1JCXYp36,1530456041274260,亲子,搞笑儿童,2093497
324,7cAuwvFbs1JEgzuds,1572712887223986,新闻资讯,社会民生,2080128
325,7dvA8k7Ev1JDQP08Z,1575955640066699,新闻资讯,社会民生,2079871
326,76OHLiETZ1JDM7u6Y,1552390531157423,情感,亲情,2069943
327,75Ar0SHrM1JDssXvP,1548058369229526,情感,两性情感小剧场,2067757
328,77Eg7W2Tf1JDjSt15,1555318826154889,影视综艺,影视片段,2067638
329,7cvAZnv6f1JC2VX8W,1572434809411415,搞笑,搞笑文字/表情包,2064791
330,6VwVPpDiw1JDRHauz,1512643252875744,新时代,其他,2060511
331,7cJJZBUbn1JDqPaFM,1573238261338089,生活,生活随拍,2059532
332,6YilteSPF1JCQHMT7,1522379584972955,搞笑,剧情段子,2056511
333,6YAywL9xh1JDNSpf3,1523413950959995,新时代,其他,2051900
334,7cQwfvYwi1JD7b2X0,1573623272135610,运动,武术搏击,2044790
335,7hbMzTTQK1JD3xjbD,1588917494861658,情感,亲情,2044538
336,71E5u4SiG1JCSESZa,1534179388240126,影视综艺,综艺节目,2038557
337,6URaltFgy1JBKpMYC,1510270942644494,生活,生活随拍,2037891
338,7dXzOg5QE1JBYkyeJ,1577545750176084,搞笑,剧情段子,2031799
339,74LXf5zD31JDvP0EP,1545191083402281,知识,科普/冷知识,2030994
340,7fUUDWhbU1Jzwhmsq,1584437664984902,搞笑,剧情段子,2028877
341,74vSkFecJ1JxevF43,1544277781347909,亲子,搞笑儿童,2021636
